MODEL	MAINEFFS	SIZE	LOG-LIKELIHOOD
5482	-1;299;1170;1517;1791;1914;3950;5133;5210;5531	10	0
5483	-1;299;1170;1517;1791;1914;2988;3950;5133;5210;5531	11	0
5484	-1;1170;1517;1791;1914;2988;3950;5133;5210;5531;7247	11	0
5485	-1;951;1170;1517;1791;1914;2988;3950;5210;5531;7247	11	0
5486	-1;951;1170;1517;1791;1914;2988;3950;5210;7247	10	0
5487	-1;951;1170;1791;1914;2988;3950;5210;6462;7247	10	0
5488	-1;951;1170;1791;1914;2988;3950;6462;7247	9	0
5489	-1;951;1170;1791;1914;2988;3950;5132;7247	9	0
5490	-1;951;1170;1791;1914;2988;3348;3950;5132	9	0
5491	-1;1170;1791;1914;2988;3348;3950;5132	8	0
5492	-1;1170;1791;1914;2988;3348;4784;5132	8	0
5493	-1;1170;1791;1914;2988;3348;4784;5132;7081	9	0
5494	-1;1170;1791;1914;2988;3348;4784;5132;7081	9	0
5495	-1;1170;1791;1914;2779;2988;3348;4784;5132;7081	10	0
5496	-1;1170;1791;1914;2988;3348;4784;5132;5345;7081	10	0
5497	-1;1170;1791;1914;2495;2988;3348;4784;5345;7081	10	0
5498	-1;1170;1791;1914;2495;2988;3348;3702;4784;5345;7081	11	0
5499	-1;1170;1791;1914;2495;2988;3348;3702;4784;5746;7081	11	0
5500	-1;1791;1914;2495;2988;3348;3702;4784;5746;7081	10	0
5501	-1;1791;1914;2495;2988;3348;3702;4784;5746;6896;7081	11	0
5502	-1;1791;1914;2495;2988;3348;3702;4784;5025;5746;6896;7081	12	0
5503	-1;1791;1914;2495;2988;3348;3702;3751;5025;5746;6896;7081	12	0
5504	-1;1791;1914;2495;2988;3348;3702;3751;5025;5746;6896	11	0
5505	-1;1791;1914;2495;2988;3348;3751;5025;5285;5746;6896	11	0
5506	-1;1791;1914;2495;2988;3348;3751;4801;5025;5285;5746;6896;2988 4801	13	0
5507	-1;1791;1914;2495;2988;3348;3751;4801;5285;5746;6896;2988 4801	12	0
5508	-1;607;1791;1914;2495;2988;3348;3751;4801;5285;6896;2988 4801	12	0
5509	-1;607;1531;1791;1914;2495;2988;3348;3751;4801;5285;2988 4801	12	0
5510	-1;607;1531;1791;1914;2495;2988;3348;3751;4801;5285;7123;2988 4801	13	0
5511	-1;607;1531;1791;1914;2495;2988;3751;4801;5285;6537;7123;2988 4801	13	0
5512	-1;607;1531;1791;2423;2495;2988;3751;4801;5285;6537;7123;2988 4801	13	0
5513	-1;799;1531;1791;2423;2495;2988;3751;4801;5285;6537;7123;2988 4801	13	0
5514	-1;799;1531;1791;2423;2495;2988;3556;3751;4801;6537;7123;2988 4801	13	0
5515	-1;799;1531;1791;2423;2495;2988;3556;4801;6537;7123;2988 4801	12	0
5516	-1;799;1531;1791;2423;2495;2988;3556;4801;6537;7055;7123;2988 4801	13	0
5517	-1;799;1531;1791;2049;2423;2495;2988;4801;6537;7055;7123;2988 4801	13	0
5518	-1;799;1531;1791;2049;2423;2495;2988;4801;7055;7123;2988 4801	12	0
5519	-1;799;1531;1791;2049;2423;2495;2988;3930;4801;7055;7123;2988 4801	13	0
5520	-1;799;1531;1791;2049;2423;2495;2988;3930;4801;7055;7123;2049 4801;2988 4801	14	0
5521	-1;799;1531;1791;2049;2213;2423;2495;2988;3930;4801;7123;2049 4801;2988 4801	14	0
5522	-1;799;1791;2049;2213;2423;2495;2988;3930;4801;7123;2049 4801;2988 4801	13	0
5523	-1;799;1791;2049;2423;2495;2837;2988;3930;4801;7123;2049 4801;2988 4801	13	0
5524	-1;799;1791;2049;2423;2495;2837;2988;3930;4801;7123;7189;2049 4801	13	0
5525	-1;799;1655;1791;2049;2423;2495;2837;2988;3930;4801;7123;7189;2049 4801	14	0
5526	-1;799;1655;1791;2049;2423;2495;2837;2988;3930;4801;5499;7123;7189	14	0
5527	-1;799;1655;1791;2423;2495;2837;2988;3930;4801;5499;7123;7189	13	0
5528	-1;799;1655;1791;2423;2495;2837;2988;3930;5499;7123;7189	12	0
5529	-1;799;1655;1791;2423;2495;2837;2988;3930;4540;5499;7123;7189	13	0
5530	-1;799;1655;1791;2423;2495;2837;2988;4540;5499;7123;7189	12	0
5531	-1;799;1655;1791;2423;2495;2837;2988;3342;4540;7123;7189	12	0
5532	-1;52;799;1655;1791;2423;2495;2988;3342;4540;7123;7189	12	0
5533	-1;52;799;1655;1791;2495;2988;3342;3556;4540;7123;7189	12	0
5534	-1;52;799;1655;1791;2495;2988;3556;3842;4540;7123;7189	12	0
5535	-1;52;799;1655;1791;2988;3556;3792;3842;4540;7123;7189	12	0
5536	-1;52;799;1791;2988;3556;3792;3842;4540;6098;7123;7189	12	0
5537	-1;52;799;1791;2988;3556;3792;3842;4116;4540;6098;7189	12	0
5538	-1;52;799;1791;2988;3792;3842;4116;4540;6098;7189	11	0
5539	-1;52;799;1791;2988;3792;3842;4116;6098;7189	10	0
5540	-1;52;799;1212;2988;3792;3842;4116;6098;7189	10	0
5541	-1;52;799;1212;3792;3842;4116;6098;7189	9	0
5542	-1;799;1212;3792;3842;4116;5716;6098;7189	9	0
5543	-1;799;1212;2195;3792;3842;4116;5716;6098;7189	10	0
5544	-1;799;1212;2195;3792;3842;5475;5716;6098;7189	10	0
5545	-1;799;1212;2195;3792;3842;5475;5716;7189	9	0
5546	-1;799;1203;1212;2195;3792;3842;5475;5716;7189	10	0
5547	-1;799;1203;1212;2195;3842;5475;5716;6618;7189	10	0
5548	-1;1203;1212;2195;3842;5475;5716;6618;7189	9	0
5549	-1;1203;1212;2195;3842;5475;5716;6618;6663;7189	10	0
5550	-1;1203;1212;3842;4043;5475;5716;6618;6663;7189	10	0
5551	-1;1203;1212;3842;4043;4508;5475;6618;6663;7189	10	0
5552	-1;1203;1212;2193;3842;4043;4508;5475;6618;7189	10	0
5553	-1;1203;1212;2103;2193;3842;4043;4508;5475;6618;7189	11	0
5554	-1;543;1212;2103;2193;3842;4043;4508;5475;6618;7189	11	0
5555	-1;543;1212;2103;2193;2395;3842;4043;4508;5475;7189	11	0
5556	-1;543;1212;2193;2395;3842;4043;4508;5475;6269;7189	11	0
5557	-1;543;1212;2193;2395;3842;4043;4508;6269;7189	10	0
5558	-1;543;1212;2193;2395;3842;4043;4508;6269;7189	10	0
5559	-1;1212;2193;2395;3842;4043;4508;6269;7189	9	0
5560	-1;2193;2395;3842;4043;4508;4542;6269;7189	9	0
5561	-1;2193;2395;3842;4043;4508;4542;6269	8	0
5562	-1;478;2395;3842;4043;4508;4542;6269	8	0
5563	-1;478;1957;2395;3842;4043;4508;6269	8	0
5564	-1;478;1957;2395;3842;4043;4841;6269	8	0
5565	-1;478;1957;2395;3842;4841;6269;7238	8	0
5566	-1;478;1630;1957;2395;3842;4841;6269;7238	9	0
5567	-1;478;1630;1957;2395;4841;6269;7238	8	0
5568	-1;1630;1957;2395;4841;6269;7238	7	0
5569	-1;1630;1957;2395;4841;5117;6269;7238;1957 5117	9	0
5570	-1;1630;1957;2395;4285;4841;5117;7238;1957 5117	9	0
5571	-1;1630;1957;2395;4285;4841;5117;7238;1957 5117	9	0
5572	-1;1630;1957;2395;2621;4285;4841;5117;7238;1957 5117	10	0
5573	-1;1630;1957;2395;2621;4285;4841;5117;7238;1957 5117	10	0
5574	-1;1630;1957;2395;2621;4285;4841;5117;6058;7238;1957 5117;5117 6058	12	0
5575	-1;1609;1957;2395;2621;4285;4841;5117;6058;7238;1957 5117;5117 6058	12	0
5576	-1;1609;1957;2621;4285;4841;5117;5578;6058;7238;1957 5117;5117 6058	12	0
5577	-1;1191;1609;1957;2621;4285;4841;5117;5578;6058;7238;1957 5117;5117 6058	13	0
5578	-1;1191;1609;1957;2621;2677;4285;4841;5117;5578;6058;7238;1957 5117;5117 6058	14	0
5579	-1;1191;1609;1957;2621;2677;4285;4841;5117;5578;6058;7238;1957 5117	13	0
5580	-1;1191;1609;1957;2621;2677;4285;4841;5117;5578;7238;1957 5117	12	0
5581	-1;1191;1609;1957;2621;2677;3332;4285;4841;5117;5578;7238;1957 5117	13	0
5582	-1;979;1191;1609;1957;2621;2677;4285;4841;5117;5578;7238;1957 5117	13	0
5583	-1;979;1191;1609;1957;2621;2677;4285;4841;5117;7238;1957 5117	12	0
5584	-1;1191;1609;1957;2621;2677;4285;4841;5047;5117;7238;1957 5117	12	0
5585	-1;1191;1609;1957;2621;2677;4285;4841;5047;5117;5973;7238;1957 5117	13	0
5586	-1;1191;1957;2621;2677;3318;4285;4841;5047;5117;5973;7238;1957 5117	13	0
5587	-1;1191;1957;2621;2677;3318;4841;5047;5117;5973;7238;1957 5117	12	0
5588	-1;639;1191;1957;2621;2677;3318;5047;5117;5973;7238;1957 5117	12	0
5589	-1;639;1191;1957;2621;2677;3318;5047;5117;7238;1957 5117	11	0
5590	-1;639;1191;1957;2621;2677;3318;3481;5117;7238;1957 5117	11	0
5591	-1;639;1191;1957;2621;2677;3318;3481;4134;5117;7238;1957 5117	12	0
5592	-1;1191;1255;1957;2621;2677;3318;3481;4134;5117;7238;1957 5117	12	0
5593	-1;1191;1255;1957;2621;2677;3318;4134;5117;7238;1957 5117	11	0
5594	-1;1191;1255;1957;2621;3318;4134;5117;7238;1957 5117	10	0
5595	-1;1191;1957;2621;3318;4033;4134;5117;7238;1957 5117	10	0
5596	-1;1167;1191;1957;2621;3318;4033;4134;5117;1957 5117	10	0
5597	-1;1167;1191;1957;2621;3318;4033;4134;5117;5682;1957 5117	11	0
5598	-1;1167;1191;1957;2621;3318;4033;4134;5117;1957 5117	10	0
5599	-1;539;1167;1191;1957;2621;3318;4033;4134;5117;1957 5117	11	0
5600	-1;539;1167;1191;1957;2621;3318;4134;5117;6177;1957 5117	11	0
5601	-1;539;1191;1957;2621;3318;4134;5117;6089;6177;1957 5117	11	0
5602	-1;539;1191;1957;2621;3318;4134;5117;6177;6947;1957 5117	11	0
5603	-1;539;1957;2621;2953;3318;4134;5117;6177;6947;1957 5117	11	0
5604	-1;539;1957;2621;3318;4134;5117;6177;6947;1957 5117	10	0
5605	-1;1957;2185;2621;3318;4134;5117;6177;6947;1957 5117	10	0
5606	-1;1957;2185;2621;3157;3318;4134;5117;6177;6947;1957 5117	11	0
5607	-1;1957;2621;3157;3318;4134;4553;5117;6177;6947;1957 5117	11	0
5608	-1;1957;2621;3157;3318;4134;4553;5117;6947;1957 5117	10	0
5609	-1;1957;2621;3318;4134;4553;5117;5646;6947;1957 5117	10	0
5610	-1;1236;1957;3318;4134;4553;5117;5646;6947;1957 5117	10	0
5611	-1;1236;1957;3318;4134;4553;5117;5646;6947;1957 5117	10	0
5612	-1;1236;1957;3318;4134;4553;5117;6211;6947;1957 5117	10	0
5613	-1;1236;1957;3318;3975;4134;4553;5117;6211;6947	10	0
5614	-1;1236;1957;3318;3975;4134;4553;5117;6947	9	0
5615	-1;1236;1957;2306;3318;3975;4134;4553;5117;6947	10	0
5616	-1;1236;1957;2306;3318;3975;4134;4377;4553;5117;6947	11	0
5617	-1;1236;1957;2306;3318;3975;4134;4377;4553;6945;6947	11	0
5618	-1;1236;1957;2306;3318;3463;3975;4134;4377;4553;6947	11	0
5619	-1;1236;1957;2306;3463;3975;4134;4377;4553;6477;6947	11	0
5620	-1;1236;1957;2306;3463;3975;4134;4377;4553;6477;6529;6947;2306 6529	13	0
5621	-1;1236;1957;2306;3463;3845;3975;4134;4553;6477;6529;6947;2306 6529	13	0
5622	-1;1236;1957;2306;3107;3463;3975;4134;4553;6477;6529;6947;2306 6529	13	0
5623	-1;1187;1957;2306;3107;3463;3975;4134;4553;6477;6529;6947;2306 6529	13	0
5624	-1;1187;1957;2306;3107;3463;3975;4134;6477;6529;6947;2306 6529	12	0
5625	-1;1187;1957;2306;3107;3463;3975;4076;4134;6477;6529;6947;2306 6529	13	0
5626	-1;1187;1957;2306;2323;3107;3463;3975;4076;6477;6529;6947;2306 6529	13	0
5627	-1;450;1187;1957;2306;3107;3463;3975;4076;6477;6529;6947;2306 6529	13	0
5628	-1;450;1187;1957;2306;3107;3463;3975;4076;6477;6529;6947	12	0
5629	-1;405;450;1957;2306;3107;3463;3975;4076;6477;6529;6947	12	0
5630	-1;405;450;2306;3107;3463;3975;4076;6477;6529;6947	11	0
5631	-1;405;450;1839;2306;3463;3975;4076;6477;6529;6947	11	0
5632	-1;267;405;450;1839;2306;3463;3975;4076;6477;6529;6947	12	0
5633	-1;267;405;450;1839;2306;3463;3533;3975;4076;6477;6947	12	0
5634	-1;267;405;450;1118;1839;3463;3533;3975;4076;6477;6947	12	0
5635	-1;267;450;1118;1839;3326;3463;3533;3975;4076;6477;6947	12	0
5636	-1;267;450;945;1118;1839;3326;3463;3533;3975;6477;6947	12	0
5637	-1;267;450;945;1118;1839;3463;3533;3975;6477;6947	11	0
5638	-1;450;945;1118;1839;3463;3533;3975;6477;6947	10	0
5639	-1;450;945;1118;1839;3463;3533;3975;6477;6947	10	0
5640	-1;450;945;1118;1339;1839;3463;3533;3975;6477;6947	11	0
5641	-1;450;945;1118;1339;1839;3463;3975;6164;6477;6947	11	0
5642	-1;450;945;1118;1339;3463;3975;6164;6231;6477;6947	11	0
5643	-1;450;945;1118;3463;3975;6164;6231;6477;6947	10	0
5644	-1;450;945;1118;3463;3975;6164;6231;6916;6947	10	0
5645	-1;945;1118;3463;3908;3975;6164;6231;6916;6947	10	0
5646	-1;1118;3463;3908;3975;6164;6231;6916;6947	9	0
5647	-1;1118;3073;3463;3908;3975;6231;6916;6947	9	0
5648	-1;3073;3463;3908;3975;5980;6231;6916;6947	9	0
5649	-1;3463;3908;3975;5980;6231;6916;6947;7224	9	0
5650	-1;3285;3463;3975;5980;6231;6916;6947;7224	9	0
5651	-1;3285;3463;3975;4437;5980;6231;6916;6947;7224	10	0
5652	-1;1019;3285;3463;3975;4437;5980;6231;6916;6947	10	0
5653	-1;1019;3285;3463;3975;4437;5980;6231;6947	9	0
5654	-1;1019;3285;3463;3577;3975;4437;5980;6231;6947	10	0
5655	-1;1019;3285;3463;3577;3975;4367;5980;6231;6947	10	0
5656	-1;1019;2063;3285;3463;3577;3975;4367;6231;6947	10	0
5657	-1;1019;3285;3463;3577;3975;4367;6028;6231;6947	10	0
5658	-1;1019;3285;3577;3975;4367;6028;6231;6947	9	0
5659	-1;1019;1347;3285;3577;3975;4367;6231;6947	9	0
5660	-1;1019;1347;3285;3577;3831;3975;4367;6231	9	0
5661	-1;1019;1347;3285;3577;3831;3975;4367;6231	9	0
5662	-1;1019;1347;3285;3831;3975;4367;5683;6231	9	0
5663	-1;981;1019;1347;3285;3831;3975;4367;5683;6231	10	0
5664	-1;981;1019;3103;3285;3831;3975;4367;5683;6231	10	0
5665	-1;1019;2765;3103;3285;3831;3975;4367;5683;6231	10	0
5666	-1;1019;2765;3103;3285;3831;3975;4367;5683	9	0
5667	-1;2765;3103;3285;3831;3975;4185;4367;5683	9	0
5668	-1;533;2765;3103;3831;3975;4185;4367;5683	9	0
5669	-1;533;3103;3831;3975;4185;4367;4754;5683	9	0
5670	-1;533;3103;3831;3975;4185;4367;4754;5683;6292	10	0
5671	-1;533;3103;3831;3975;4185;4367;4754;5683;6292	10	0
5672	-1;533;1060;3103;3831;4185;4367;4754;5683;6292	10	0
5673	-1;533;1060;3103;3831;4185;4367;4754;5683;6292	10	0
5674	-1;533;1060;1796;3103;3831;4185;4754;5683;6292	10	0
5675	-1;533;1060;1796;2303;3103;3831;4185;4754;5683;6292	11	0
5676	-1;1060;1796;2303;3103;3831;4185;4754;5683;6292	10	0
5677	-1;1060;1796;2303;3831;4185;4754;5683;6292	9	0
5678	-1;1060;1796;2303;3831;4185;4754;5683;6292;6450	10	0
5679	-1;1060;1796;2303;3831;4185;4290;4754;6292;6450	10	0
5680	-1;1081;1796;2303;3831;4185;4290;4754;6292;6450	10	0
5681	-1;1081;1796;2303;3831;4185;4290;4754;6292;6450	10	0
5682	-1;1081;1796;2303;2874;3831;4185;4290;4754;6292	10	0
5683	-1;1081;1796;2303;2874;3831;4185;4754;5799;6292	10	0
5684	-1;1081;1796;2303;2874;4185;4754;5799;6292	9	0
5685	-1;1796;2303;2874;4185;4754;5799;6292	8	0
5686	-1;1796;2303;2874;4754;5799;6292	7	0
5687	-1;1796;2303;2874;4754;5163;5799;6292	8	0
5688	-1;1796;2874;4754;5163;5799;6292	7	0
5689	-1;1796;2874;4754;5010;5163;5799;6292	8	0
5690	-1;1796;2874;3917;4754;5010;5163;5799;6292	9	0
5691	-1;1796;2874;3898;3917;4754;5163;5799;6292	9	0
5692	-1;1796;2874;3898;4754;5163;5235;5799;6292	9	0
5693	-1;1796;2874;3898;4754;5163;5235;5799;6292	9	0
5694	-1;1796;1973;3898;4754;5163;5235;5799;6292	9	0
5695	-1;1712;1796;1973;3898;4754;5235;5799;6292	9	0
5696	-1;1712;1796;1973;3898;4754;5799;6292	8	0
5697	-1;1796;1973;3898;4047;4754;5799;6292	8	0
5698	-1;815;1796;1973;4047;4754;5799;6292	8	0
5699	-1;815;1796;1973;4754;5799;6292	7	0
5700	-1;815;1973;4754;5799;6292;6308	7	0
5701	-1;815;1973;4754;5799;6292	6	0
5702	-1;815;1973;4754;5799;6292	6	0
5703	-1;815;1973;4754;5489;5799;6292	7	0
5704	-1;815;1818;1973;4754;5489;6292	7	0
5705	-1;815;1818;1973;4452;4754;5489;6292	8	0
5706	-1;815;1818;1973;4452;5489;6292	7	0
5707	-1;815;1818;1973;4452;5489;6292;7275	8	0
5708	-1;815;1818;1973;5489;6292;7275	7	0
5709	-1;815;1818;1973;2784;6292;7275	7	0
5710	-1;1818;1973;2784;6292;6880;7275	7	0
5711	-1;1818;1973;2784;6292;6880;7029;7275	8	0
5712	-1;1818;1973;2784;6292;6880;7029	7	0
5713	-1;1818;1836;2784;6292;6880;7029	7	0
5714	-1;1818;1836;2784;5168;6292;6880	7	0
5715	-1;1818;1836;2784;4344;5168;6292;6880	8	0
5716	-1;54;1818;1836;2784;4344;5168;6292;6880	9	0
5717	-1;1818;1836;2784;4344;5043;5168;6292;6880	9	0
5718	-1;1818;1836;2784;4344;5043;6292;6880	8	0
5719	-1;1091;1818;1836;2784;4344;5043;6292;6880	9	0
5720	-1;525;1091;1818;1836;2784;4344;5043;6292;6880	10	0
5721	-1;1091;1818;1836;2055;2784;4344;5043;6292;6880	10	0
5722	-1;1091;1818;1836;2055;4344;5043;6292;6880	9	0
5723	-1;1091;1409;1818;1836;2055;4344;5043;6292;6880	10	0
5724	-1;1008;1091;1409;1818;1836;2055;5043;6292;6880	10	0
5725	-1;1091;1409;1818;1836;2055;5043;5842;6292;6880	10	0
5726	-1;1091;1818;1836;2055;5043;5842;6292;6880	9	0
5727	-1;358;1091;1818;1836;2055;5043;6292;6880	9	0
5728	-1;358;875;1091;1818;1836;2055;5043;6292;6880;875 6880	11	0
5729	-1;358;875;1091;1818;1836;3177;5043;6292;6880;875 6880	11	0
5730	-1;358;875;1091;1173;1818;1836;3177;5043;6292;6880;875 6880	12	0
5731	-1;358;875;1091;1173;1818;1836;3177;5043;5898;6880;875 6880	12	0
5732	-1;358;875;1091;1173;1818;1836;3177;5898;6880;875 6880	11	0
5733	-1;358;875;1091;1173;1818;1836;3177;5898;6235;6880;875 6880;1091 6235	13	0
5734	-1;358;875;1091;1818;1836;2526;3177;5898;6235;6880;875 6880;1091 6235	13	0
5735	-1;358;875;1091;1818;1836;2526;3177;3194;6235;6880;875 6880;1091 6235	13	0
5736	-1;358;875;1091;1818;1836;2526;3194;6235;6880;875 6880;1091 6235	12	0
5737	-1;358;875;1091;1466;1818;1836;2526;3194;6235;6880;875 6880;1091 6235	13	0
5738	-1;875;1091;1466;1818;1836;2526;3194;3329;6235;6880;875 6880;1091 6235	13	0
5739	-1;875;973;1091;1466;1836;2526;3194;3329;6235;6880;875 6880;1091 6235	13	0
5740	-1;875;973;1091;1836;2526;3194;3329;6235;6880;875 6880;1091 6235	12	0
5741	-1;875;973;1091;1836;3194;3329;4985;6235;6880;875 6880;1091 6235	12	0
5742	-1;875;973;1091;3194;3329;4985;6235;6880;875 6880;1091 6235	11	0
5743	-1;875;973;1091;3194;3329;6235;6880;875 6880;1091 6235	10	0
5744	-1;875;1091;3194;3329;6235;6880;875 6880;1091 6235	9	0
5745	-1;875;1091;3194;3329;5551;6235;6880;1091 6235	9	0
5746	-1;875;1091;3194;4488;5551;6235;6880;1091 6235	9	0
5747	-1;875;1091;3194;3842;4488;5551;6235;6880;1091 6235	10	0
5748	-1;875;1091;3842;4488;5551;6235;6745;6880;1091 6235	10	0
5749	-1;875;1091;3842;4488;5551;5996;6235;6745;6880	10	0
5750	-1;875;1091;3842;4206;5551;5996;6235;6745;6880	10	0
5751	-1;875;1091;3842;4206;5996;6235;6745;6880	9	0
5752	-1;794;875;1091;3842;4206;5996;6235;6745	9	0
5753	-1;794;875;1091;2814;3842;5996;6235;6745	9	0
5754	-1;590;794;875;1091;2814;3842;6235;6745	9	0
5755	-1;428;590;794;875;1091;2814;6235;6745	9	0
5756	-1;428;590;794;1091;2814;2901;6235;6745	9	0
5757	-1;428;590;794;1091;2290;2814;2901;6235;6745	10	0
5758	-1;428;794;1091;2290;2814;2901;3601;6235;6745	10	0
5759	-1;428;794;1091;2814;2901;3601;6235;6745	9	0
5760	-1;428;794;2814;2901;3601;6235;6745;6814	9	0
5761	-1;428;794;2814;2901;3601;6235;6745;6814	9	0
5762	-1;428;794;1162;2814;2901;3601;6235;6814	9	0
5763	-1;428;794;2814;2901;3601;6235;6443;6814	9	0
5764	-1;38;428;2814;2901;3601;6235;6443;6814	9	0
5765	-1;38;428;2814;2901;3601;6235;6814	8	0
5766	-1;38;428;2814;2901;5626;6235;6814	8	0
5767	-1;38;375;428;2814;2901;5626;6235;6814	9	0
5768	-1;38;375;428;2814;2901;5626;6235;6814	9	0
5769	-1;38;428;2814;2901;5445;5626;6235;6814	9	0
5770	-1;38;428;2003;2901;5445;5626;6235;6814	9	0
5771	-1;38;428;2901;5445;5626;6235;6814	8	0
5772	-1;38;428;2062;2901;5445;5626;6235;6814	9	0
5773	-1;38;428;2062;2901;5123;5445;5626;6235;6814	10	0
5774	-1;38;428;2062;2901;3074;5123;5626;6235;6814	10	0
5775	-1;38;428;2062;2901;3055;3074;5123;5626;6235;6814	11	0
5776	-1;38;428;2062;2901;3055;3074;5069;5123;6235;6814	11	0
5777	-1;38;428;1787;2901;3055;3074;5069;5123;6235;6814	11	0
5778	-1;38;428;1434;1787;2901;3055;3074;5069;5123;6235;6814	12	0
5779	-1;38;428;1434;1787;3055;3074;5069;5123;5679;6235;6814	12	0
5780	-1;38;428;1434;1787;3055;3074;5069;5123;5679;6235;6814	12	0
5781	-1;38;428;1434;3055;3074;3572;5069;5123;5679;6235;6814	12	0
5782	-1;38;428;1434;3055;3074;3572;5069;5679;5694;6235;6814	12	0
5783	-1;38;428;1048;1434;3055;3074;3572;5069;5679;6235;6814	12	0
5784	-1;38;428;793;1048;1434;3055;3074;3572;5069;6235;6814	12	0
5785	-1;38;428;793;1048;1434;3055;3572;5069;6235;6814	11	0
5786	-1;38;428;793;1434;3055;3572;3947;5069;6235;6814	11	0
5787	-1;38;428;793;1434;2541;3055;3572;5069;6235;6814	11	0
5788	-1;38;428;793;1434;2541;3572;5069;6235;6814	10	0
5789	-1;38;428;1434;2286;2541;3572;5069;6235;6814	10	0
5790	-1;38;1434;2286;2541;3572;5069;6235;6642;6814	10	0
5791	-1;38;1434;2286;2541;3572;5069;6642;6814	9	0
5792	-1;38;1434;2286;2541;3572;5069;6642;6814	9	0
5793	-1;38;1434;2541;3572;5069;6642;6814	8	0
5794	-1;38;1434;2541;3572;5069;6642	7	0
5795	-1;38;923;1434;3572;5069;6642	7	0
5796	-1;38;923;1434;3572;5069;6642	7	0
5797	-1;923;1013;1434;3572;5069;6642	7	0
5798	-1;609;1013;1434;3572;5069;6642	7	0
5799	-1;609;1235;1434;3572;5069;6642	7	0
5800	-1;609;1235;3572;5069;5567;6642	7	0
5801	-1;609;1235;3572;5069;6642;6930	7	0
5802	-1;609;1235;1669;3572;5069;6642;6930	8	0
5803	-1;609;1235;1669;3572;5069;6930	7	0
5804	-1;609;1235;1669;3517;3572;6930	7	0
5805	-1;1235;1669;3517;3572;6930;7163	7	0
5806	-1;284;1235;1669;3517;3572;6930;7163	8	0
5807	-1;284;1235;1669;3517;6930;7163	7	0
5808	-1;284;1235;1669;3517;6930;6993;7163	8	0
5809	-1;284;1235;1669;3517;6930;6993;7163	8	0
5810	-1;284;1669;3517;6930;6993;7163	7	0
5811	-1;284;1669;3517;4266;6930;6993;7163	8	0
5812	-1;284;1669;3517;4266;6930;6993;7163	8	0
5813	-1;1669;3517;4266;6930;6993;7163	7	0
5814	-1;1300;1669;3517;4266;6930;7163	7	0
5815	-1;1300;1669;3517;3695;4266;7163	7	0
5816	-1;1300;1669;3517;3695;4266;5171;7163	8	0
5817	-1;1300;1669;3517;3695;4266;5171;6581;7163	9	0
5818	-1;1300;3517;3695;4266;4470;5171;6581;7163	9	0
5819	-1;1300;3517;3695;4266;4398;4470;5171;6581	9	0
5820	-1;1205;1300;3517;3695;4266;4398;4470;6581	9	0
5821	-1;1205;1300;3695;4266;4398;4470;6581	8	0
5822	-1;719;1205;1300;3695;4266;4398;4470;6581	9	0
5823	-1;719;1205;1300;3695;4266;4363;4398;4470;6581	10	0
5824	-1;1205;1300;3695;4266;4363;4398;4470;5810;6581	10	0
5825	-1;1205;1300;2401;3695;4363;4398;4470;5810;6581	10	0
5826	-1;390;1205;1300;2401;3695;4363;4398;4470;5810;6581	11	0
5827	-1;390;1205;1300;2401;3695;4363;4398;5810;6581	10	0
5828	-1;390;1205;1300;2401;3695;4363;4398;5810;6581	10	0
5829	-1;390;985;1300;2401;3695;4363;4398;5810;6581	10	0
5830	-1;390;590;985;2401;3695;4363;4398;5810;6581	10	0
5831	-1;390;590;985;2401;3695;4275;4363;4398;5810;6581	11	0
5832	-1;390;519;590;985;2401;3695;4275;4398;5810;6581	11	0
5833	-1;390;519;985;2401;3695;4275;4398;5810;6581;6952	11	0
5834	-1;390;519;2401;3695;4275;4398;5810;6581;6952	10	0
5835	-1;390;519;2401;3695;4275;4398;6581;6952	9	0
5836	-1;441;519;2401;3695;4275;4398;6581;6952	9	0
5837	-1;441;455;519;2401;3695;4275;6581;6952	9	0
5838	-1;11;441;519;2401;3695;4275;6581;6952	9	0
5839	-1;11;441;519;2401;4275;6581;6952	8	0
5840	-1;11;519;935;2401;4275;6581;6952	8	0
5841	-1;11;519;935;2401;4275;5903;6581	8	0
5842	-1;11;403;519;935;2401;4275;5903	8	0
5843	-1;11;403;935;2401;4275;5903	7	0
5844	-1;11;263;403;935;2401;4275;5903	8	0
5845	-1;11;263;403;935;1185;2401;5903	8	0
5846	-1;11;403;935;1185;2401;5143;5903	8	0
5847	-1;11;403;885;935;2401;5143;5903	8	0
5848	-1;11;403;885;935;2401;5903	7	0
5849	-1;11;403;767;885;935;2401;5903	8	0
5850	-1;11;403;767;885;935;2401;5903	8	0
5851	-1;11;403;767;885;935;2401;4906;5903	9	0
5852	-1;11;403;767;885;935;4906;5903	8	0
5853	-1;11;403;767;935;1087;4906;5903	8	0
5854	-1;11;56;403;935;1087;4906;5903	8	0
5855	-1;11;403;935;1087;3715;4906;5903	8	0
5856	-1;11;935;1087;3715;4906;5903	7	0
5857	-1;11;1087;3715;4906;5903	6	0
5858	-1;11;1087;3060;4906;5903	6	0
5859	-1;11;1087;3060;4906;5903;5921	7	0
5860	-1;1087;3060;4906;5903;5921;6675	7	0
5861	-1;1087;1366;3060;4906;5903;5921;6675	8	0
5862	-1;63;1087;1366;3060;4906;5903;5921;6675	9	0
5863	-1;63;1087;1366;3060;3134;4906;5903;5921;6675	10	0
